#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=1 "Today we know of more than a dozen dwarf planets in the solar system".
1-1	0-1	1	*	*	*	*	*	*	*	*	*	NumType=Card	*	*	xn	1	parataxis	basic	1-3	
1-2	2-3	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	punct	basic	1-3	
1-3	3-8	Today	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Today	root	basic	1-3	
1-4	9-11	we	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	we	flat:foreign	basic	1-3	
1-5	12-16	know	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	know	flat:foreign	basic	1-3	
1-6	17-19	of	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	of	flat:foreign	basic	1-3	
1-7	20-24	more	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	more	flat:foreign	basic	1-3	
1-8	25-29	than	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	than	flat:foreign	basic	1-3	
1-9	30-31	a	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	a	flat:foreign	basic	1-3	
1-10	32-37	dozen	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	dozen	flat:foreign	basic	1-3	
1-11	38-43	dwarf	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	dwarf	flat:foreign	basic	1-3	
1-12	44-51	planets	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	planets	flat:foreign	basic	1-3	
1-13	52-54	in	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	in	flat:foreign	basic	1-3	
1-14	55-58	the	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	the	flat:foreign	basic	1-3	
1-15	59-64	solar	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	solar	flat:foreign	basic	1-3	
1-16	65-71	system	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	system	flat:foreign	basic	1-3	
1-17	71-72	"	_	_	_	_	_	_	_	_	_	_	_	_	zq	"	punct	basic	1-3	
1-18	72-73	.	_	_	_	_	_	_	_	_	_	_	_	_	zs	.	punct	basic	1-3	

#Text=The PI's Perspective
2-1	75-78	The	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	The	root	basic	2-1	
2-2	79-82	PI'	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	PI'	flat:foreign	basic	2-1	
2-3	82-83	s	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	s	flat:foreign	basic	2-1	
2-4	84-95	Perspective	*	*	*	*	*	*	*	*	*	Foreign=Yes	*	*	xf	Perspective	flat:foreign	basic	2-1	
