#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Klaidonis kādu laiku vilkās līdzi, taču tad atmeta ar roku un devās citā virzienā.
1-1	0-9	Klaidonis	ncmsn2	klaidonis	nsubj	basic	1-4	
1-2	10-14	kādu	pi0msan	kāds	det	basic	1-3	
1-3	15-20	laiku	ncmsa1	laiks	obl	basic	1-4	
1-4	21-27	vilkās	vmyisi130an	vilkties	root	basic	1-4	
1-5	28-33	līdzi	rrp	līdzi	advmod	basic	1-4	
1-6	33-34	,	zc	,	punct	basic	1-9	
1-7	35-39	taču	cc	taču	cc	basic	1-9	
1-8	40-43	tad	r0t	tad	dep	basic	1-9	
1-9	44-50	atmeta	vmnist130an	atmest	conj	basic	1-4	
1-10	51-53	ar	spsa	ar	case	basic	1-11	
1-11	54-58	roku	ncfsa4	roka	obl	basic	1-9	
1-12	59-61	un	cc	un	cc	basic	1-13	
1-13	62-67	devās	vmyisti30an	doties	conj	basic	1-4	
1-14	68-72	citā	pi0msln	cits	det	basic	1-15	
1-15	73-81	virzienā	ncmsl1	virziens	obl	basic	1-13	
1-16	81-82	.	zs	.	punct	basic	1-4	
