#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Bauskas pamatskolas 6. klases audzēknes Kitija Rāzna un Valērija Siņica bija priecīgas par stundu ilgo slidošanu.
1-1	0-7	Bauskas	npfsg4	*	Bauska	organization[1]|GPE[2]	*[1]|https://en.wikipedia.org/wiki/Bauska[2]	_	_	nmod	basic	1-2	
1-2	8-19	pamatskolas	ncfsg4	*	pamatskola	organization[1]	*[1]	_	_	nmod	basic	1-5	
1-3	20-22	6.	xo	*	6.	_	_	_	_	amod	basic	1-4	
1-4	23-29	klases	ncfsg5	*	klase	_	_	_	_	nmod	basic	1-5	
1-5	30-39	audzēknes	ncfpn5	*	audzēkne	_	_	*->1-1	*[1]	nmod	basic	1-6	
1-6	40-46	Kitija	npfsn4	*	Kitija	person[3]	*[3]	*->1-2	*[1]	nsubj	basic	1-12	
1-7	47-52	Rāzna	npfsn4	*	Rāzna	person[3]	*[3]	*->1-2	*[1]	flat:name	basic	1-6	
1-8	53-55	un	cc	*	un	_	_	*->1-2	*[1]	cc	basic	1-9	
1-9	56-64	Valērija	npfsn4	*	Valērija	person[4]	*[4]	*->1-2	*[1]	conj	basic	1-6	
1-10	65-71	Siņica	npfsn4	*	Siņica	person[4]	*[4]	*->1-2	*[1]	flat:name	basic	1-9	
1-11	72-76	bija	vcnisii30an	*	būt	_	_	_	_	cop	basic	1-12	
1-12	77-86	priecīgas	affpnnp	*	priecīga	_	_	_	_	root	basic	1-12	
1-13	87-90	par	spsa	*	par	_	_	_	_	case	basic	1-16	
1-14	91-97	stundu	ncfpg4	*	stunda	_	_	_	_	nmod	basic	1-15	
1-15	98-102	ilgo	affsayp	*	ilga	_	_	_	_	amod	basic	1-16	
1-16	103-112	slidošanu	ncfsa4	*	slidošana	_	_	_	_	xcomp	basic	1-12	
1-17	112-113	.	zs	*	.	_	_	_	_	punct	basic	1-12	

#Text=Meitenes pēc šīs nodarbības steidzās uz deju grupas «Lēra» mēģinājumu un sacīja, ka nogurums netraucēšot.
2-1	115-123	Meitenes	ncfpn5	*	meitene	_	_	*->1-3	*[1]	nsubj	basic	2-5	
2-2	124-127	pēc	spsg	*	pēc	_	_	_	_	case	basic	2-4	
2-3	128-131	šīs	pd0fsgn	*	šī	_	_	_	_	det	basic	2-4	
2-4	132-142	nodarbības	ncfsg4	*	nodarbība	_	_	_	_	obl	basic	2-5	
2-5	143-151	steidzās	vmyisi130an	*	steigties	_	_	_	_	root	basic	2-5	
2-6	152-154	uz	spsa	*	uz	_	_	_	_	case	basic	2-12	
2-7	155-159	deju	ncfpn4	*	deja	_	_	*->2-1	*[2]	nmod	basic	2-8	
2-8	160-166	grupas	ncfsg4	*	grupa	_	_	*->2-1	*[2]	nmod	basic	2-10	
2-9	167-168	«	zq	*	«	organization[5]	*[5]	*->2-2	*[2]	punct	basic	2-10	
2-10	168-172	Lēra	npfsn4	*	Lēra	organization[5]	*[5]	*->2-2	*[2]	nmod	basic	2-12	
2-11	172-173	»	zq	*	»	organization[5]	*[5]	*->2-2	*[2]	punct	basic	2-10	
2-12	174-184	mēģinājumu	ncmsa1	*	mēģinājums	_	_	_	_	obl	basic	2-5	
2-13	185-187	un	cc	*	un	_	_	_	_	cc	basic	2-14	
2-14	188-194	sacīja	vmnist330an	*	sacīt	_	_	_	_	conj	basic	2-5	
2-15	194-195	,	zc	*	,	_	_	_	_	punct	basic	2-18	
2-16	196-198	ka	cs	*	ka	_	_	_	_	mark	basic	2-18	
2-17	199-207	nogurums	ncmsn1	*	nogurums	_	_	_	_	nsubj	basic	2-18	
2-18	208-219	netraucēšot	vmnrft200ay	*	netraucēt	_	_	_	_	ccomp	basic	2-14	
2-19	219-220	.	zs	*	.	_	_	_	_	punct	basic	2-5	

#Text=Abām esot daudz enerģijas, un slidošanā to varot izlikt pārpārēm.
3-1	222-226	Abām	pg0fpdn	*	abas	_	_	*->1-4	*[1]	obl	basic	3-2	
3-2	227-231	esot	vmnrpii00an	*	būt	_	_	_	_	root	basic	3-2	
3-3	232-237	daudz	rpq	*	daudz	_	_	_	_	advmod	basic	3-4	
3-4	238-247	enerģijas	ncfsg4	*	enerģija	_	_	*->3-1	*[3]	nsubj	basic	3-2	
3-5	247-248	,	zc	*	,	_	_	_	_	punct	basic	3-7	
3-6	249-251	un	cc	*	un	_	_	_	_	cc	basic	3-7	
3-7	252-261	slidošanā	ncfsl4	*	slidošana	_	_	_	_	conj	basic	3-2	
3-8	262-264	to	pd0msan	*	tas	_	_	*->3-2	*[3]	obj	basic	3-10	
3-9	265-270	varot	vonrpt300an	*	varēt	_	_	_	_	conj	basic	3-2	
