#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Lai arī iedzīvotāji uzskata, ka būtu vairāk jāattīsta atjaunojamās enerģijas izmantošana, tai pašā laikā arī valda uzskats, ka jauna cietā kurināmā stacija palīdzētu dažādot izmantojamās enerģijas veidus un radīt jaunas darba vietas pilsētā.
1-1	0-3	Lai	cs	*	lai	mark	basic	1-4	
1-2	4-7	arī	q	*	arī	discourse	basic	1-1	
1-3	8-19	iedzīvotāji	ncmpn1	*	iedzīvotājs	nsubj	basic	1-4	
1-4	20-27	uzskata	vmnipt330an	*	uzskatīt	advcl	basic	1-18	
1-5	27-28	,	zc	*	,	punct	basic	1-9	
1-6	29-31	ka	cs	*	ka	mark	basic	1-9	
1-7	32-36	būtu	vcnc0ii00an	*	būt	aux	basic	1-9	
1-8	37-43	vairāk	rcq	*	daudz	advmod	basic	1-9	
1-9	44-53	jāattīsta	vmnd0t300an	*	attīstīt	ccomp	basic	1-4	
1-10	54-66	atjaunojamās	vmnpdfsgppyp	*	atjaunot	amod	basic	1-11	
1-11	67-76	enerģijas	ncfsg4	*	enerģija	nmod	basic	1-12	
1-12	77-88	izmantošana	ncfsn4	*	izmantošana	obj	basic	1-9	
1-13	88-89	,	zc	*	,	punct	basic	1-9	
1-14	90-93	tai	pd0msln	*	tas	det	basic	1-16	
1-15	94-98	pašā	pg0msln	*	pats	det	basic	1-16	
1-16	99-104	laikā	ncmsl1	*	laiks	obl	basic	1-18	
1-17	105-108	arī	q	*	arī	discourse	basic	1-18	
1-18	109-114	valda	vmnipt330an	*	valdīt	root	basic	1-18	
1-19	115-122	uzskats	ncmsn1	*	uzskats	nsubj	basic	1-18	
1-20	122-123	,	zc	*	,	punct	basic	1-26	
1-21	124-126	ka	cs	*	ka	mark	basic	1-26	
1-22	127-132	jauna	affsnnp	*	jauna	amod	basic	1-25	
1-23	133-138	cietā	affsnyp	*	cieta	amod	basic	1-24	
1-24	139-147	kurināmā	vmnpdfsnppyp	*	kurināt	amod	basic	1-25	
1-25	148-155	stacija	ncfsn4	*	stacija	nsubj	basic	1-26	
1-26	156-165	palīdzētu	vmnc0t300an	*	palīdzēt	acl	basic	1-19	
1-27	166-173	dažādot	vmnn0t2000n	*	dažādot	ccomp	basic	1-26	
1-28	174-186	izmantojamās	vmnpdfsgppyp	*	izmantot	amod	basic	1-29	
1-29	187-196	enerģijas	ncfsg4	*	enerģija	nmod	basic	1-30	
1-30	197-203	veidus	ncmpa1	*	veids	obj	basic	1-27	
1-31	204-206	un	cc	*	un	cc	basic	1-32	
1-32	207-212	radīt	vmnn0t3000n	*	radīt	conj	basic	1-27	
1-33	213-219	jaunas	affpanp	*	jauna	amod	basic	1-35	
1-34	220-225	darba	ncmsg1	*	darbs	nmod	basic	1-35	
1-35	226-232	vietas	ncfpa4	*	vieta	nmod	basic	1-32	
1-36	233-240	pilsētā	ncfsl4	*	pilsēta	obl	basic	1-32	
1-37	240-241	.	zs	*	.	punct	basic	1-18	

#Text=Tāpat cilvēki ir norūpējušies par ietekmi uz vidi, vienlaikus atzīstot, ka jaunās tehnoloģijas novērš būtiskus riskus.
2-1	243-248	Tāpat	r0m	*	tāpat	advmod	basic	2-4	
2-2	249-256	cilvēki	ncmpn1	*	cilvēks	nsubj	basic	2-4	
2-3	257-259	ir	vcnipii30an	*	būt	aux	basic	2-4	
2-4	260-272	norūpējušies	vmypdmpnasnp	*	norūpēties	root	basic	2-4	
2-5	273-276	par	spsa	*	par	case	basic	2-6	
2-6	277-284	ietekmi	ncfsa5	*	ietekme	iobj	basic	2-4	
2-7	285-287	uz	spsa	*	uz	case	basic	2-8	
2-8	288-292	vidi	ncfsa5	*	vide	nmod	basic	2-6	
2-9	292-293	,	zc	*	,	punct	basic	2-11	
2-10	294-304	vienlaikus	r0t	*	vienlaikus	advmod	basic	2-11	
2-11	305-313	atzīstot	vmnpu0000000	*	atzīt	advcl	basic	2-4	
2-12	313-314	,	zc	*	,	punct	basic	2-16	
2-13	315-317	ka	cs	*	ka	mark	basic	2-16	
2-14	318-324	jaunās	affpnyp	*	jauna	amod	basic	2-15	
2-15	325-337	tehnoloģijas	ncfpn4	*	tehnoloģija	nsubj	basic	2-16	
2-16	338-344	novērš	vmnipt130an	*	novērst	ccomp	basic	2-11	
2-17	345-353	būtiskus	afmpanp	*	būtisks	amod	basic	2-18	
2-18	354-360	riskus	ncmpa1	*	risks	obj	basic	2-16	
2-19	360-361	.	zs	*	.	punct	basic	2-4	
