#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Uzvāra buljonu, pievieno sīpolus.
1-1	0-6	Uzvāra	vmnipt330an	*	uzvārīt	root	basic	1-1	
1-2	7-14	buljonu	ncmsa1	*	buljons	obj	basic	1-1	
1-3	14-15	,	zc	*	,	punct	basic	1-4	
1-4	16-24	pievieno	vmnipt230an	*	pievienot	conj	basic	1-1	
1-5	25-32	sīpolus	ncmpa1	*	sīpols	obj	basic	1-4	
1-6	32-33	.	zs	*	.	punct	basic	1-1	

#Text=Vāra apmēram 15 minūtes.
2-1	35-39	Vāra	vmnipt330an	*	vārīt	root	basic	2-1	
2-2	40-47	apmēram	r0m	*	apmēram	advmod	basic	2-3	
2-3	48-50	15	xn	*	15	nummod	basic	2-4	
2-4	51-58	minūtes	ncfpn5	*	minūte	obl	basic	2-1	
2-5	58-59	.	zs	*	.	punct	basic	2-1	
