#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text="Tur kāds ir un nāk tieši šurp," viņa satraukti iesaucās.
1-1	0-1	"	zq	*	"	punct	basic	1-4	
1-2	1-4	Tur	r0p	*	tur	advmod	basic	1-4	
1-3	5-9	kāds	pi0msnn	*	kāds	nsubj	basic	1-4	
1-4	10-12	ir	vmnipii30an	*	būt	parataxis	basic	1-13	
1-5	13-15	un	cc	*	un	cc	basic	1-6	
1-6	16-19	nāk	vmnipi130an	*	nākt	conj	basic	1-4	
1-7	20-25	tieši	rpm	*	tieši	advmod	basic	1-8	
1-8	26-30	šurp	r0p	*	šurp	advmod	basic	1-6	
1-9	30-31	,	zc	*	,	punct	basic	1-4	
1-10	31-32	"	zq	*	"	punct	basic	1-4	
1-11	33-37	viņa	pp3fsnn	*	viņa	nsubj	basic	1-13	
1-12	38-47	satraukti	rpm	*	satraukti	advmod	basic	1-13	
1-13	48-56	iesaucās	vmyisi130an	*	iesaukties	root	basic	1-13	
1-14	56-57	.	zs	*	.	punct	basic	1-13	
