#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Mangoldu lapas noskalo.
1-1	0-8	Mangoldu	ncmpg1	*	mangolds	nmod	basic	1-2	
1-2	9-14	lapas	ncfpa4	*	lapa	obj	basic	1-3	
1-3	15-22	noskalo	vmnipt230an	*	noskalot	root	basic	1-3	
1-4	22-23	.	zs	*	.	punct	basic	1-3	

#Text=Vāra apmēram minūti mazsālītā ūdenī.
2-1	25-29	Vāra	vmnipt330an	*	vārīt	root	basic	2-1	
2-2	30-37	apmēram	r0m	*	apmēram	advmod	basic	2-3	
2-3	38-44	minūti	ncfsa5	*	minūte	obl	basic	2-1	
2-4	45-54	mazsālītā	afmslnp	*	mazsālīts	amod	basic	2-5	
2-5	55-60	ūdenī	ncmsl2	*	ūdens	obl	basic	2-1	
2-6	60-61	.	zs	*	.	punct	basic	2-1	

#Text=Sagriež gabaliņos.
3-1	63-70	Sagriež	vmnipt130an	*	sagriezt	root	basic	3-1	
3-2	71-80	gabaliņos	ncmpl1	*	gabaliņš	obl	basic	3-1	
3-3	80-81	.	zs	*	.	punct	basic	3-1	
