#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Vētru fronte tagad pārvietojusies uz valsts dienvidaustrumiem, un trešdien tiek prognozētas spēcīgas lietusgāzes Kiklādu salās, Dodekaneses salās un Krētā.
1-1	0-5	Vētru	ncfpg4	*	vētra	_	_	nmod	basic	1-2	
1-2	6-12	fronte	ncfsn5	*	fronte	_	_	nsubj	basic	1-4	
1-3	13-18	tagad	r0t	*	tagad	_	_	advmod	basic	1-4	
1-4	19-33	pārvietojusies	vmypdfsnasnp	*	pārvietoties	_	_	root	basic	1-4	
1-5	34-36	uz	spsg	*	uz	_	_	case	basic	1-7	
1-6	37-43	valsts	ncfsg6	*	valsts	_	_	nmod	basic	1-7	
1-7	44-61	dienvidaustrumiem	ncmdd1	*	dienvidaustrumi	_	_	obl	basic	1-4	
1-8	61-62	,	zc	*	,	_	_	punct	basic	1-12	
1-9	63-65	un	cc	*	un	_	_	cc	basic	1-12	
1-10	66-74	trešdien	r0t	*	trešdien	time	*	advmod	basic	1-12	
1-11	75-79	tiek	vtnipi130an	*	tikt	_	_	aux	basic	1-12	
1-12	80-91	prognozētas	vmnpdfpnpsnp	*	prognozēt	_	_	conj	basic	1-4	
1-13	92-100	spēcīgas	affpnnp	*	spēcīga	_	_	amod	basic	1-14	
1-14	101-112	lietusgāzes	ncfpn5	*	lietusgāze	_	_	nsubj:pass	basic	1-12	
1-15	113-120	Kiklādu	npfpg4	*	Kiklāda	_	_	nmod	basic	1-16	
1-16	121-126	salās	ncfpl4	*	sala	_	_	acl	basic	1-14	
1-17	126-127	,	zc	*	,	_	_	punct	basic	1-19	
1-18	128-139	Dodekaneses	npfsg5	*	Dodekaneses	_	_	nmod	basic	1-19	
1-19	140-145	salās	ncfpl4	*	sala	_	_	conj	basic	1-16	
1-20	146-148	un	cc	*	un	_	_	cc	basic	1-21	
1-21	149-154	Krētā	npfsl4	*	krēta	_	_	conj	basic	1-16	
1-22	154-155	.	zs	*	.	_	_	punct	basic	1-4	
