#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Lauku tūrisma attīstība veicina ekonomiskās aktivitātes, uzlabo infrastruktūras stāvokli laukos un palielina nodarbinātību, paaugstina vietējo iedzīvotāju pašapziņu, kā arī liek meklēt alternatīvas saimniekošanas formas.
1-1	0-5	Lauku	ncmpg1	lauks	nmod	basic	1-2	
1-2	6-13	tūrisma	ncmsg1	tūrisms	nmod	basic	1-3	
1-3	14-23	attīstība	ncfsn4	attīstība	nsubj	basic	1-4	
1-4	24-31	veicina	vmnipt330an	veicināt	root	basic	1-4	
1-5	32-43	ekonomiskās	affpayp	ekonomiska	amod	basic	1-6	
1-6	44-55	aktivitātes	ncfpa5	aktivitāte	obj	basic	1-4	
1-7	55-56	,	zc	,	punct	basic	1-8	
1-8	57-63	uzlabo	vmnipt230an	uzlabot	conj	basic	1-4	
1-9	64-79	infrastruktūras	ncfsg4	infrastruktūra	nmod	basic	1-10	
1-10	80-88	stāvokli	ncmsa2	stāvoklis	obj	basic	1-8	
1-11	89-95	laukos	ncmpl1	lauks	acl	basic	1-10	
1-12	96-98	un	cc	un	cc	basic	1-13	
1-13	99-108	palielina	vmnipt330an	palielināt	conj	basic	1-4	
1-14	109-122	nodarbinātību	ncfsa4	nodarbinātība	obj	basic	1-13	
1-15	122-123	,	zc	,	punct	basic	1-16	
1-16	124-134	paaugstina	vmnipt330an	paaugstināt	conj	basic	1-4	
1-17	135-142	vietējo	armpgyp	vietējs	amod	basic	1-18	
1-18	143-154	iedzīvotāju	ncmpg1	iedzīvotājs	nmod	basic	1-19	
1-19	155-164	pašapziņu	ncfsa4	pašapziņa	obj	basic	1-16	
1-20	164-165	,	zc	,	punct	basic	1-23	
1-21	166-168	kā	cs	kā	cc	basic	1-23	
1-22	169-172	arī	q	arī	discourse	basic	1-21	
1-23	173-177	liek	vmnipt130an	likt	conj	basic	1-4	
1-24	178-184	meklēt	vmnn0t2000n	meklēt	ccomp	basic	1-23	
1-25	185-197	alternatīvas	ncfsg4	alternatīva	nmod	basic	1-26	
1-26	198-212	saimniekošanas	ncfsg4	saimniekošana	nmod	basic	1-27	
1-27	213-219	formas	ncfsg4	forma	iobj	basic	1-24	
1-28	219-220	.	zs	.	punct	basic	1-4	
