#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=... vienīgais, kas mums nepieciešams, lai kļūtu par labiem filosofiem, ir spēja brīnīties...
1-1	0-3	...	_	_	_	_	_	_	_	_	_	_	_	_	zs	...	punct	basic	1-2	
1-2	4-13	vienīgais	Masc	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	armsnyp	vienīgs	root	basic	1-2	
1-3	13-14	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-6	
1-4	15-18	kas	*	*	Nom	*	*	*	*	*	*	Case=Nom\|PronType=Rel	*	*	pr000nn	kas	nsubj	basic	1-6	
1-5	19-23	mums	*	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Number=Plur\|Person=1\|PronType=Prs	1	*	pp10pdn	mēs	obl	basic	1-6	
1-6	24-36	nepieciešams	Masc	Sing	Nom	Pos	*	*	*	*	*	Case=Nom\|Degree=Pos\|Gender=Masc\|Number=Sing	*	*	afmsnnp	nepieciešams	ccomp	basic	1-2	
1-7	36-37	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-12	
1-8	38-41	lai	_	_	_	_	_	_	_	_	_	_	_	_	cs	lai	mark	basic	1-12	
1-9	42-47	kļūtu	*	*	*	*	*	*	Cnd	Act	*	Mood=Cnd\|Polarity=Pos\|VerbForm=Fin\|Voice=Act	*	*	vcnc0i100an	kļūt	cop	basic	1-12	
1-10	48-51	par	_	_	_	_	_	_	_	_	_	_	_	_	sppd	par	case	basic	1-12	
1-11	52-58	labiem	Masc	Plur	Dat	Pos	*	*	*	*	*	Case=Dat\|Degree=Pos\|Gender=Masc\|Number=Plur	*	*	afmpdnp	labs	amod	basic	1-12	
1-12	59-69	filosofiem	Masc	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Masc\|Number=Plur	*	*	ncmpd1	filosofs	advcl	basic	1-6	
1-13	69-70	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct	basic	1-12	
1-14	71-73	ir	*	*	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Person=3\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	3	*	vcnipii30an	būt	cop	basic	1-2	
1-15	74-79	spēja	Fem	Sing	Nom	*	*	*	*	*	*	Case=Nom\|Gender=Fem\|Number=Sing	*	*	ncfsn4	spēja	nsubj	basic	1-2	
1-16	80-89	brīnīties	*	*	*	*	*	*	*	*	*	Polarity=Pos\|Reflex=Yes\|VerbForm=Inf	*	*	vmyn0i3000n	brīnīties	acl	basic	1-15	
1-17	89-92	...	_	_	_	_	_	_	_	_	_	_	_	_	zs	...	punct	basic	1-2	
