#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Jūs teicāt, ka sākumā dēlu vedāt uz futbola treniņiem.
1-1	0-3	Jūs	pp20pnn	jūs	nsubj	basic	1-2	
1-2	4-10	teicāt	vmnist12pan	teikt	root	basic	1-2	
1-3	10-11	,	zc	,	punct	basic	1-7	
1-4	12-14	ka	cs	ka	mark	basic	1-7	
1-5	15-21	sākumā	ncmsl1	sākums	obl	basic	1-7	
1-6	22-26	dēlu	ncmsa1	dēls	obj	basic	1-7	
1-7	27-32	vedāt	vmnist12pan	vest	ccomp	basic	1-2	
1-8	33-35	uz	spsg	uz	case	basic	1-10	
1-9	36-43	futbola	ncmsg1	futbols	nmod	basic	1-10	
1-10	44-53	treniņiem	ncmpd1	treniņš	obl	basic	1-7	
1-11	53-54	.	zs	.	punct	basic	1-2	
