#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Laiks gāja nedzirdamiem soļiem.
1-1	0-5	Laiks	ncmsn1	laiks	nsubj	basic	1-2	
1-2	6-10	gāja	vmnisii30an	iet	root	basic	1-2	
1-3	11-23	nedzirdamiem	afmpdnp	nedzirdams	amod	basic	1-4	
1-4	24-30	soļiem	ncmpd2	solis	obl	basic	1-2	
1-5	30-31	.	zs	.	punct	basic	1-2	

#Text=Vienīgi dzeguzes balss no tālā meža atnāca līdz malai.
2-1	33-40	Vienīgi	q	vienīgi	discourse	basic	2-3	
2-2	41-49	dzeguzes	ncfsg5	dzeguze	nmod	basic	2-3	
2-3	50-55	balss	ncfsn6	balss	nsubj	basic	2-7	
2-4	56-58	no	spsg	no	case	basic	2-6	
2-5	59-63	tālā	afmsgyp	tāls	amod	basic	2-6	
2-6	64-68	meža	ncmsg1	mežs	obl	basic	2-7	
2-7	69-75	atnāca	vmnisi130an	atnākt	root	basic	2-7	
2-8	76-80	līdz	spsd	līdz	case	basic	2-9	
2-9	81-86	malai	ncfsd4	mala	obl	basic	2-7	
2-10	86-87	.	zs	.	punct	basic	2-7	
