#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=- Pagaidi taču!
1-1	0-1	-	zd	*	-	punct	basic	1-2	
1-2	2-9	Pagaidi	vmnm0t32san	*	pagaidīt	root	basic	1-2	
1-3	10-14	taču	q	*	taču	discourse	basic	1-2	
1-4	14-15	!	zs	*	!	punct	basic	1-2	

#Text=Kur tu skrien?
2-1	17-20	Kur	r0p	*	kur	advmod	basic	2-3	
2-2	21-23	tu	pp20snn	*	tu	nsubj	basic	2-3	
2-3	24-30	skrien	vmnipt12san	*	skriet	root	basic	2-3	
2-4	30-31	?	zs	*	?	punct	basic	2-3	
