#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.morph.MorphologicalFeatures|gender|number|case|degree|transitivity|tense|mood|voice|definiteness|value|person|aspect
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Aicinām Jūs ekonomēt laika un finanšu resursus, iegādājoties apdares materiālus, santehniku, durvis un sporta grīdas segumus par īpaši izdevīgām cenām!
1-1	0-7	Aicinām	*	Plur	*	*	*	Pres	Ind	Act	*	Evident=Fh\|Mood=Ind\|Number=Plur\|Person=1\|Polarity=Pos\|Tense=Pres\|VerbForm=Fin\|Voice=Act	1	*	vmnipt31pan	aicināt	root|root	basic|enhanced	1-1|1-1	
1-2	8-11	Jūs	*	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Number=Plur\|Person=2\|PronType=Prs	2	*	pp20pan	jūs	obj|obj	basic|enhanced	1-1|1-1	
1-3	12-20	ekonomēt	*	*	*	*	*	*	*	*	*	Polarity=Pos\|VerbForm=Inf	*	*	vmnn0t2000n	ekonomēt	ccomp|ccomp	basic|enhanced	1-1|1-1	
1-4	21-26	laika	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	laiks	nmod|nmod	basic|enhanced	1-7|1-7	
1-5	27-29	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc|cc	basic|enhanced	1-6|1-6	
1-6	30-37	finanšu	Fem	Ptan	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Ptan	*	*	ncfdg5	finanses	conj|conj	basic|enhanced	1-4|1-4	
1-7	38-46	resursus	Masc	Ptan	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Ptan	*	*	ncmda1	resursi	obj|obj	basic|enhanced	1-3|1-3	
1-8	46-47	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct|punct	basic|enhanced	1-9|1-9	
1-9	48-60	iegādājoties	*	*	*	*	*	*	*	*	*	Reflex=Yes\|VerbForm=Conv	*	*	vmypu0000000	iegādāties	advcl|advcl	basic|enhanced	1-3|1-3	
1-10	61-68	apdares	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg5	apdare	nmod|nmod	basic|enhanced	1-11|1-11	
1-11	69-79	materiālus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa1	materiāls	obj|obj	basic|enhanced	1-9|1-9	
1-12	79-80	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct|punct	basic|enhanced	1-13|1-13	
1-13	81-91	santehniku	Fem	Sing	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Sing	*	*	ncfsa4	santehnika	conj|conj	basic|enhanced	1-11|1-11	
1-14	91-92	,	_	_	_	_	_	_	_	_	_	_	_	_	zc	,	punct|punct	basic|enhanced	1-15|1-15	
1-15	93-99	durvis	Fem	Ptan	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Fem\|Number=Ptan	*	*	ncfda6	durvis	conj|conj	basic|enhanced	1-11|1-11	
1-16	100-102	un	_	_	_	_	_	_	_	_	_	_	_	_	cc	un	cc|cc	basic|enhanced	1-19|1-19	
1-17	103-109	sporta	Masc	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Masc\|Number=Sing	*	*	ncmsg1	sports	nmod|nmod	basic|enhanced	1-19|1-19	
1-18	110-116	grīdas	Fem	Sing	Gen	*	*	*	*	*	*	Case=Gen\|Gender=Fem\|Number=Sing	*	*	ncfsg4	grīda	nmod|nmod	basic|enhanced	1-19|1-19	
1-19	117-124	segumus	Masc	Plur	Acc	*	*	*	*	*	*	Case=Acc\|Gender=Masc\|Number=Plur	*	*	ncmpa1	segums	conj|conj	basic|enhanced	1-11|1-11	
1-20	125-128	par	_	_	_	_	_	_	_	_	_	_	_	_	spsa	par	case|case	basic|enhanced	1-23|1-23	
1-21	129-134	īpaši	*	*	*	Pos	*	*	*	*	*	Degree=Pos	*	*	rpm	īpaši	advmod|advmod	basic|enhanced	1-22|1-22	
1-22	135-144	izdevīgām	Fem	Plur	Dat	Pos	*	*	*	*	*	Case=Dat\|Degree=Pos\|Gender=Fem\|Number=Plur	*	*	affpdnp	izdevīga	amod|amod	basic|enhanced	1-23|1-23	
1-23	145-150	cenām	Fem	Plur	Dat	*	*	*	*	*	*	Case=Dat\|Gender=Fem\|Number=Plur	*	*	ncfpd4	cena	obl|obl	basic|enhanced	1-9|1-9	
1-24	150-151	!	_	_	_	_	_	_	_	_	_	_	_	_	zs	!	punct|punct	basic|enhanced	1-1|1-1	
