#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pāvils noliecas pie grāvja.
1-1	0-6	Pāvils	npmsn1	Pāvils	person	*	*[1]	*->1-1	nsubj	basic	1-2	
1-2	7-15	noliecas	vmyipi130an	noliekties	_	_	_	_	root	basic	1-2	
1-3	16-19	pie	spsg	pie	_	_	_	_	case	basic	1-4	
1-4	20-26	grāvja	ncmsg2	grāvis	_	_	_	_	obl	basic	1-2	
1-5	26-27	.	zs	.	_	_	_	_	punct	basic	1-2	

#Text=Viņš iegremdē kailās rokas līdz elkoņiem ūdenī un sastingst.
2-1	29-33	Viņš	pp3msnn	viņš	_	_	*[1]	*->1-2	nsubj	basic	2-2	
2-2	34-42	iegremdē	vmnipt230an	iegremdēt	_	_	_	_	root	basic	2-2	
2-3	43-49	kailās	affpayp	kaila	_	_	_	_	amod	basic	2-4	
2-4	50-55	rokas	ncfpa4	roka	_	_	_	_	obj	basic	2-2	
2-5	56-60	līdz	sppd	līdz	_	_	_	_	case	basic	2-6	
2-6	61-69	elkoņiem	ncmpd2	elkonis	_	_	_	_	obl	basic	2-2	
2-7	70-75	ūdenī	ncmsl2	ūdens	_	_	_	_	obl	basic	2-2	
2-8	76-78	un	cc	un	_	_	_	_	cc	basic	2-9	
2-9	79-88	sastingst	vmnipi130an	sastingt	_	_	_	_	conj	basic	2-2	
2-10	88-89	.	zs	.	_	_	_	_	punct	basic	2-2	

#Text=Arī viņa paliek kā lēmēta.
3-1	91-94	Arī	q	arī	_	_	_	_	discourse	basic	3-2	
3-2	95-99	viņa	pp3fsnn	viņa	_	_	_	_	nsubj	basic	3-3	
3-3	100-106	paliek	vmnipi130an	palikt	_	_	_	_	root	basic	3-3	
3-4	107-109	kā	cs	kā	_	_	_	_	mark	basic	3-5	
3-5	110-116	lēmēta	vmnpdfsnpsnp	lēmēt	_	_	_	_	acl	basic	3-3	
3-6	116-117	.	zs	.	_	_	_	_	punct	basic	3-3	

#Text=No šķērsu grāvja strautā plūst asinis.
4-1	119-121	No	spsg	no	_	_	_	_	case	basic	4-3	
4-2	122-128	šķērsu	r0m	šķērsu	_	_	_	_	advmod	basic	4-3	
4-3	129-135	grāvja	ncmsg2	grāvis	_	_	_	_	obl	basic	4-5	
4-4	136-143	strautā	ncmsl1	strauts	_	_	_	_	obl	basic	4-5	
4-5	144-149	plūst	vmnn0i130an	plūst	_	_	_	_	root	basic	4-5	
4-6	150-156	asinis	ncfpn6	asins	_	_	_	_	nsubj	basic	4-5	
4-7	156-157	.	zs	.	_	_	_	_	punct	basic	4-5	

#Text=Sarkanbrūni, biezi mutuļi piedzen strautu ar kustīgu krāsu un aiztek prom.
5-1	159-170	Sarkanbrūni	afmpnnp	sarkanbrūns	_	_	_	_	amod	basic	5-4	
5-2	170-171	,	zc	,	_	_	_	_	punct	basic	5-3	
5-3	172-177	biezi	afmpnnp	biezs	_	_	_	_	conj	basic	5-1	
5-4	178-184	mutuļi	ncmpn2	mutulis	_	_	_	_	root	basic	5-4	
5-5	185-192	piedzen	vmnipt130an	piedzīt	_	_	_	_	conj	basic	5-4	
5-6	193-200	strautu	ncmsa1	strauts	_	_	_	_	obj	basic	5-5	
5-7	201-203	ar	spsa	ar	_	_	_	_	case	basic	5-9	
5-8	204-211	kustīgu	affsanp	kustīga	_	_	_	_	amod	basic	5-9	
5-9	212-217	krāsu	ncfsa4	krāsa	_	_	_	_	iobj	basic	5-5	
5-10	218-220	un	cc	un	_	_	_	_	cc	basic	5-11	
5-11	221-227	aiztek	vmnipi330an	aiztecēt	_	_	_	_	conj	basic	5-4	
5-12	228-232	prom	r0p	prom	_	_	_	_	advmod	basic	5-11	
5-13	232-233	.	zs	.	_	_	_	_	punct	basic	5-4	

#Text=Augšpus grāvja strauts ir tāds pats kā arvien — dzidrs, pelēcīgs, sevī noslēpies.
6-1	235-242	Augšpus	rrp	augšpus	_	_	_	_	case	basic	6-2	
6-2	243-249	grāvja	ncmsg2	grāvis	_	_	_	_	obl	basic	6-5	
6-3	250-257	strauts	ncmsn1	strauts	_	_	_	_	nsubj	basic	6-5	
6-4	258-260	ir	vcnipii30an	būt	_	_	_	_	cop	basic	6-5	
