#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Trīs govis ir apteļojušās un jāslauc arī pusdienā, teica Māte, kad viņas iegāja garajā, krēslas pilnajā stallī.
1-1	0-4	Trīs	mcsfpn	trīs	_	_	_	_	nummod	basic	1-2	
1-2	5-10	govis	ncfpn6	govs	_	_	_	_	nsubj	basic	1-4	
1-3	11-13	ir	vcnipii30an	būt	_	_	_	_	aux	basic	1-4	
1-4	14-25	apteļojušās	vmypdfpnasnp	apteļoties	_	_	_	_	root	basic	1-4	
1-5	26-28	un	cc	un	_	_	_	_	cc	basic	1-6	
1-6	29-36	jāslauc	vmnd0t100an	slaukt	_	_	_	_	conj	basic	1-4	
1-7	37-40	arī	q	arī	_	_	_	_	discourse	basic	1-8	
1-8	41-49	pusdienā	ncfsl4	pusdiena	_	_	_	_	obl	basic	1-6	
1-9	49-50	,	zc	,	_	_	_	_	punct	basic	1-4	
1-10	51-56	teica	vmnist130an	teikt	_	_	_	_	dep	basic	1-4	
1-11	57-61	Māte	ncfsn5	māte	_	_	_	_	nsubj	basic	1-10	
1-12	61-62	,	zc	,	_	_	_	_	punct	basic	1-15	
1-13	63-66	kad	r0t	kad	_	_	_	_	advmod	basic	1-15	
1-14	67-72	viņas	pp3fpnn	viņa	_	_	_	_	nsubj	basic	1-15	
1-15	73-79	iegāja	vmnisii30an	ieiet	_	_	_	_	advcl	basic	1-10	
1-16	80-86	garajā	affslyp	gara	_	_	_	_	amod	basic	1-20	
1-17	86-87	,	zc	,	_	_	_	_	punct	basic	1-19	
1-18	88-95	krēslas	ncfsg4	krēsla	_	_	_	_	nmod	basic	1-19	
1-19	96-103	pilnajā	afmslyp	pilns	_	_	_	_	conj	basic	1-16	
1-20	104-110	stallī	ncmsl2	stallis	_	_	_	_	obl	basic	1-15	
1-21	110-111	.	zs	.	_	_	_	_	punct	basic	1-4	

#Text=Govis, kuras gulēja piesietas, tūlīt cēlās augšā, ķēdes žvadzinādamas; cūkas aizgaldā sacēla negantu troksni.
2-1	113-118	Govis	ncfpn6	govs	_	_	*[1]	*->1-1	nsubj	basic	2-8	
2-2	118-119	,	zc	,	_	_	_	_	punct	basic	2-4	
2-3	120-125	kuras	pr0fpan	kura	_	_	*[1]	*->1-2	nsubj	basic	2-4	
2-4	126-132	gulēja	vmnist330an	gulēt	_	_	_	_	acl	basic	2-1	
2-5	133-142	piesietas	vmnpdfpnpsnp	piesiet	_	_	_	_	acl	basic	2-4	
2-6	142-143	,	zc	,	_	_	_	_	punct	basic	2-4	
2-7	144-149	tūlīt	r0t	tūlīt	_	_	_	_	advmod	basic	2-8	
2-8	150-155	cēlās	vmyist130an	celties	_	_	_	_	root	basic	2-8	
2-9	156-161	augšā	r0p	augšā	_	_	_	_	advmod	basic	2-8	
2-10	161-162	,	zc	,	_	_	_	_	punct	basic	2-12	
2-11	163-168	ķēdes	ncfsg5	ķēde	_	_	_	_	iobj	basic	2-12	
2-12	169-182	žvadzinādamas	vmnpdfpnapn0	žvadzinādamas	_	_	_	_	acl	basic	2-8	
2-13	182-183	;	zc	\;	_	_	_	_	punct	basic	2-16	
2-14	184-189	cūkas	ncfpn4	cūka	_	_	_	_	nsubj	basic	2-16	
2-15	190-198	aizgaldā	ncmsl1	aizgalds	_	_	_	_	obl	basic	2-16	
2-16	199-205	sacēla	vmnist130an	sacelt	_	_	_	_	parataxis	basic	2-8	
2-17	206-213	negantu	afmsanp	neganta	_	_	_	_	amod	basic	2-18	
2-18	214-221	troksni	ncmsa2	troksnis	_	_	_	_	obj	basic	2-16	
2-19	221-222	.	zs	.	_	_	_	_	punct	basic	2-8	

#Text=Māte sameta govīm silēs sienu un sāka slaukt.
3-1	224-228	Māte	ncfsn5	māte	_	_	_	_	nsubj	basic	3-2	
3-2	229-235	sameta	vmnist130an	samest	_	_	_	_	root	basic	3-2	
3-3	236-241	govīm	ncfpd6	govs	_	_	_	_	iobj	basic	3-2	
3-4	242-247	silēs	ncfpl5	sile	_	_	_	_	obl	basic	3-2	
3-5	248-253	sienu	ncmsa1	siens	_	_	_	_	obj	basic	3-2	
3-6	254-256	un	cc	un	_	_	_	_	cc	basic	3-7	
3-7	257-261	sāka	vpnist130an	sākt	_	_	_	_	conj	basic	3-2	
3-8	262-268	slaukt	vmnn0t1000n	slaukt	_	_	_	_	xcomp	basic	3-7	
3-9	268-269	.	zs	.	_	_	_	_	punct	basic	3-2	

#Text=Ieva nesteidzīgi soļoja pa garo gaiteni, kuru izraibināja saules plankumi no šaurrūšu logiem.
4-1	271-275	Ieva	ncfsn4	ieva	person	*	*[3]	*->3-1	nsubj	basic	4-3	
4-2	276-287	nesteidzīgi	rpm	nesteidzīgi	_	_	_	_	advmod	basic	4-3	
4-3	288-294	soļoja	vmnisi230an	soļot	_	_	_	_	root	basic	4-3	
4-4	295-297	pa	spsa	pa	_	_	_	_	case	basic	4-6	
4-5	298-302	garo	afmsayp	garš	_	_	_	_	amod	basic	4-6	
4-6	303-310	gaiteni	ncmsa2	gaitenis	_	_	*[2]	*->2-1	obl	basic	4-3	
4-7	310-311	,	zc	,	_	_	_	_	punct	basic	4-9	
4-8	312-316	kuru	pr0fsan	kura	_	_	*[2]	*->2-2	obj	basic	4-9	
4-9	317-328	izraibināja	vmnist330an	izraibināt	_	_	_	_	acl	basic	4-6	
4-10	329-335	saules	ncfsg5	saule	_	_	_	_	nmod	basic	4-11	
4-11	336-344	plankumi	ncmpn1	plankums	_	_	_	_	nsubj	basic	4-9	
4-12	345-347	no	spsg	no	_	_	_	_	case	basic	4-14	
4-13	348-356	šaurrūšu	ncmpgg	šaurrūšu	_	_	_	_	nmod	basic	4-14	
4-14	357-363	logiem	ncmpd1	logs	_	_	_	_	nmod	basic	4-11	
4-15	363-364	.	zs	.	_	_	_	_	punct	basic	4-3	

#Text=Odrija viņai sekoja, piesardzīga un klusa.
5-1	366-372	Odrija	npfsn4	Odrija	person	*	_	_	nsubj	basic	5-3	
5-2	373-378	viņai	pp3fsdn	viņa	_	_	*[3]	*->3-2	iobj	basic	5-3	
5-3	379-385	sekoja	vmnisi230an	sekot	_	_	_	_	root	basic	5-3	
5-4	385-386	,	zc	,	_	_	_	_	punct	basic	5-5	
5-5	387-398	piesardzīga	affsnnp	piesardzīga	_	_	_	_	acl	basic	5-3	
5-6	399-401	un	cc	un	_	_	_	_	cc	basic	5-7	
5-7	402-407	klusa	affsnnp	klusa	_	_	_	_	conj	basic	5-5	
5-8	407-408	.	zs	.	_	_	_	_	punct	basic	5-3	
