#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Pirmdien visu ziemeļaustrumu štatu gubernatori tiksies ar Brazīlijas prezidentu Luisu Inasiu Lulu da Silvu, lai prasītu papildu finansējumu, kas nepieciešams galvenokārt palīdzības nodrošināšanai cietušajiem un applūdušo pilsētu infrastuktūru atjaunošanai.
1-1	0-8	Pirmdien	r0t	*	pirmdien	time	*	_	_	advmod	basic	1-6	
1-2	9-13	visu	pg0msan	*	viss	_	_	_	_	det	basic	1-4	
1-3	14-28	ziemeļaustrumu	ncmdg1	*	ziemeļaustrumi	_	_	_	_	nmod	basic	1-4	
1-4	29-34	štatu	ncmpg1	*	štats	_	_	_	_	nmod	basic	1-5	
1-5	35-46	gubernatori	ncmpn1	*	gubernators	_	_	_	_	nsubj	basic	1-6	
1-6	47-54	tiksies	vmyifi130an	*	tikties	_	_	_	_	root	basic	1-6	
1-7	55-57	ar	spsa	*	ar	_	_	_	_	case	basic	1-10	
1-8	58-68	Brazīlijas	npfsg4	*	Brazīlija	GPE	https://en.wikipedia.org/wiki/Brazil	_	_	nmod	basic	1-9	
1-9	69-79	prezidentu	ncmsa1	*	prezidents	_	_	*->1-1	*[1]	nmod	basic	1-10	
1-10	80-85	Luisu	npmsa1	*	Luiss	person[1]	https://en.wikipedia.org/wiki/Luiz\_Inácio\_Lula\_da\_Silva[1]	*->1-2	*[1]	iobj	basic	1-6	
1-11	86-92	Inasiu	np0000	*	Inasiu	person[1]	https://en.wikipedia.org/wiki/Luiz\_Inácio\_Lula\_da\_Silva[1]	*->1-2	*[1]	flat:name	basic	1-10	
1-12	93-97	Lulu	npmsa4	*	Lula	person[1]	https://en.wikipedia.org/wiki/Luiz\_Inácio\_Lula\_da\_Silva[1]	*->1-2	*[1]	flat:name	basic	1-10	
1-13	98-100	da	xf	*	da	person[1]	https://en.wikipedia.org/wiki/Luiz\_Inácio\_Lula\_da\_Silva[1]	*->1-2	*[1]	flat:name	basic	1-10	
1-14	101-106	Silvu	npmsa4	*	Silva	person[1]	https://en.wikipedia.org/wiki/Luiz\_Inácio\_Lula\_da\_Silva[1]	*->1-2	*[1]	flat:name	basic	1-10	
1-15	106-107	,	zc	*	,	_	_	_	_	punct	basic	1-17	
1-16	108-111	lai	cs	*	lai	_	_	_	_	mark	basic	1-17	
1-17	112-119	prasītu	vmnc0t300an	*	prasīt	_	_	_	_	advcl	basic	1-6	
1-18	120-127	papildu	nc00gg	*	papildu	_	_	_	_	nmod	basic	1-19	
1-19	128-139	finansējumu	ncmsa1	*	finansējums	_	_	*->2-1	*[2]	obj	basic	1-17	
1-20	139-140	,	zc	*	,	_	_	_	_	punct	basic	1-22	
1-21	141-144	kas	pr000nn	*	kas	_	_	*->2-2	*[2]	nsubj	basic	1-22	
1-22	145-157	nepieciešams	afmsnnp	*	nepieciešams	_	_	_	_	acl	basic	1-19	
1-23	158-169	galvenokārt	r0q	*	galvenokārt	_	_	_	_	advmod	basic	1-25	
1-24	170-180	palīdzības	ncfsg4	*	palīdzība	_	_	_	_	nmod	basic	1-25	
1-25	181-195	nodrošināšanai	ncfsd4	*	nodrošināšana	_	_	_	_	acl	basic	1-22	
1-26	196-207	cietušajiem	vmnpdmpdasyp	*	ciest	_	_	_	_	acl	basic	1-25	
1-27	208-210	un	cc	*	un	_	_	_	_	cc	basic	1-31	
1-28	211-220	applūdušo	vmnpdmpgasyp	*	applūst	_	_	_	_	amod	basic	1-29	
1-29	221-228	pilsētu	ncfpg4	*	pilsēta	_	_	_	_	nmod	basic	1-30	
1-30	229-242	infrastuktūru	ncfpg4	*	infrastuktūra	_	_	_	_	nmod	basic	1-31	
1-31	243-255	atjaunošanai	ncfsd4	*	atjaunošana	_	_	_	_	conj	basic	1-25	
1-32	255-256	.	zs	*	.	_	_	_	_	punct	basic	1-6	
