#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Viņa izskrien cauri ugunij, skrien pa lauku, kājas pinas zālē, sirds dauzās kaklā.
1-1	0-4	Viņa	pp3fsnn	*	viņa	nsubj	basic	1-2	
1-2	5-13	izskrien	vmnipt130an	*	izskriet	root	basic	1-2	
1-3	14-19	cauri	rrp	*	cauri	case	basic	1-4	
1-4	20-26	ugunij	ncfsd6	*	uguns	obl	basic	1-2	
1-5	26-27	,	zc	*	,	punct	basic	1-6	
1-6	28-34	skrien	vmnipt130an	*	skriet	conj	basic	1-2	
1-7	35-37	pa	spsa	*	pa	case	basic	1-8	
1-8	38-43	lauku	ncmsa1	*	lauks	obl	basic	1-6	
1-9	43-44	,	zc	*	,	punct	basic	1-11	
1-10	45-50	kājas	ncfpn4	*	kāja	nsubj	basic	1-11	
1-11	51-56	pinas	vmyipi130an	*	pīties	conj	basic	1-2	
1-12	57-61	zālē	ncfsl5	*	zāle	obl	basic	1-11	
1-13	61-62	,	zc	*	,	punct	basic	1-15	
1-14	63-68	sirds	ncfsn6	*	sirds	nsubj	basic	1-15	
1-15	69-75	dauzās	vmyipi330an	*	dauzīties	conj	basic	1-2	
1-16	76-81	kaklā	ncmsl1	*	kakls	obl	basic	1-15	
1-17	81-82	.	zs	*	.	punct	basic	1-2	
