#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Indijā vilcieni ir tik pārpildīti, ka cilvēki bieži vien kāpj uz jumtiem vai paliek tamburā, kas tiek uzskatīts par noziegumu.
1-1	0-6	Indijā	npfsl4	Indija	GPE	https://en.wikipedia.org/wiki/India	_	_	obl	basic	1-5	
1-2	7-15	vilcieni	ncmpn1	vilciens	_	_	_	_	nsubj	basic	1-5	
1-3	16-18	ir	vcnipii30an	būt	_	_	_	_	cop	basic	1-5	
1-4	19-22	tik	r0q	tik	_	_	_	_	advmod	basic	1-5	
1-5	23-33	pārpildīti	armpnnp	pārpildīts	_	_	_	_	root	basic	1-5	
1-6	33-34	,	zc	,	_	_	_	_	punct	basic	1-11	
1-7	35-37	ka	cs	ka	_	_	_	_	mark	basic	1-11	
1-8	38-45	cilvēki	ncmpn1	cilvēks	_	_	*[2]	*->2-1	nsubj	basic	1-11	
1-9	46-51	bieži	rpq	bieži	_	_	_	_	advmod	basic	1-11	
1-10	52-56	vien	q	vien	_	_	_	_	discourse	basic	1-9	
1-11	57-61	kāpj	vmnipt130an	kāpt	_	_	_	_	advcl	basic	1-4	
1-12	62-64	uz	sppd	uz	_	_	_	_	case	basic	1-13	
1-13	65-72	jumtiem	ncmpd1	jumts	_	_	_	_	obl	basic	1-11	
1-14	73-76	vai	cc	vai	_	_	_	_	cc	basic	1-15	
1-15	77-83	paliek	vmnipi130an	palikt	_	_	_	_	conj	basic	1-11	
1-16	84-91	tamburā	ncmsl1	tamburs	_	_	*[1]	*->1-1	obl	basic	1-15	
1-17	91-92	,	zc	,	_	_	_	_	punct	basic	1-20	
1-18	93-96	kas	pr000nn	kas	_	_	*[1]	*->1-2	nsubj:pass	basic	1-20	
1-19	97-101	tiek	vtnipi130an	tikt	_	_	_	_	aux	basic	1-20	
1-20	102-111	uzskatīts	vmnpdmsnpsnp	uzskatīt	_	_	_	_	advcl	basic	1-11	
1-21	112-115	par	spsa	par	_	_	_	_	case	basic	1-22	
1-22	116-125	noziegumu	ncmsa1	noziegums	_	_	_	_	xcomp	basic	1-20	
1-23	125-126	.	zs	.	_	_	_	_	punct	basic	1-5	

#Text=Daudzi arī nepērk biļetes.
2-1	128-134	Daudzi	pi0mpnn	daudzi	_	_	*[2]	*->2-2	nsubj	basic	2-3	
2-2	135-138	arī	q	arī	_	_	_	_	discourse	basic	2-3	
2-3	139-145	nepērk	vmnipt130ay	nepirkt	_	_	_	_	root	basic	2-3	
2-4	146-153	biļetes	ncfpa5	biļete	_	_	_	_	obj	basic	2-3	
2-5	153-154	.	zs	.	_	_	_	_	punct	basic	2-3	
