#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Ģimenē Ieva bija vienīgā meita.
1-1	0-6	Ģimenē	ncfsl5	ģimene	_	_	_	_	obl	basic	1-5	
1-2	7-11	Ieva	npfsn4	Ieva	person	*	*[2]	*->2-1	nsubj	basic	1-5	
1-3	12-16	bija	vcnisii30an	būt	_	_	_	_	cop	basic	1-5	
1-4	17-24	vienīgā	arfsnyp	vienīga	_	_	_	_	amod	basic	1-5	
1-5	25-30	meita	ncfsn4	meita	_	_	_	_	root	basic	1-5	
1-6	30-31	.	zs	.	_	_	_	_	punct	basic	1-5	

#Text=Ulmaņlaikos tēvam piederēja 100 hektāru liela saimniecība, kuru nu Ieva mantoja.
2-1	33-44	Ulmaņlaikos	ncmdl1	ulmaņlaiki	time	https://lv.wikipedia.org/wiki/Autoritārais\_Kārļa\_Ulmaņa\_režīms	_	_	obl	basic	2-3	
2-2	45-50	tēvam	ncmsd1	tēvs	_	_	_	_	obl	basic	2-3	
2-3	51-60	piederēja	vmnisi330an	piederēt	_	_	_	_	root	basic	2-3	
2-4	61-64	100	xn	100	_	_	_	_	nummod	basic	2-5	
2-5	65-72	hektāru	ncmpg1	hektārs	_	_	_	_	nmod	basic	2-6	
2-6	73-78	liela	affsnnp	liela	_	_	_	_	amod	basic	2-7	
2-7	79-90	saimniecība	ncfsn4	saimniecība	_	_	*[1]	*->1-1	nsubj	basic	2-3	
2-8	90-91	,	zc	,	_	_	_	_	punct	basic	2-12	
2-9	92-96	kuru	pr0fsan	kura	_	_	*[1]	*->1-2	obj	basic	2-12	
2-10	97-99	nu	r0t	nu	_	_	_	_	advmod	basic	2-12	
2-11	100-104	Ieva	npfsn4	Ieva	person	*	*[2]	*->2-2	nsubj	basic	2-12	
2-12	105-112	mantoja	vmnist230an	mantot	_	_	_	_	acl	basic	2-7	
2-13	112-113	.	zs	.	_	_	_	_	punct	basic	2-3	

#Text=Tēvs gāja bojā Sibīrijā, bet māte Anna ar Ievu palika savos "Cīruļos".
3-1	115-119	Tēvs	ncmsn1	tēvs	_	_	_	_	nsubj	basic	3-2	
3-2	120-124	gāja	vmnisii30an	iet	_	_	_	_	root	basic	3-2	
3-3	125-129	bojā	r0m	bojā	_	_	_	_	advmod	basic	3-2	
3-4	130-138	Sibīrijā	npfsl4	Sibīrija	GPE	https://en.wikipedia.org/wiki/Siberia	_	_	obl	basic	3-2	
3-5	138-139	,	zc	,	_	_	_	_	punct	basic	3-11	
3-6	140-143	bet	cc	bet	_	_	_	_	cc	basic	3-11	
3-7	144-148	māte	ncfsn5	māte	_	_	*[3]	*->3-1	nmod	basic	3-8	
3-8	149-153	Anna	npfsn4	Anna	person	*	*[3]	*->3-2	nsubj	basic	3-11	
3-9	154-156	ar	spsa	ar	_	_	_	_	case	basic	3-10	
3-10	157-161	Ievu	npfsa4	Ieva	person	*	*[2]	*->2-3	nmod	basic	3-8	
3-11	162-168	palika	vmnisi130an	palikt	_	_	_	_	conj	basic	3-2	
