#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceType|referenceRelation
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Es zvēru, ka viss mans darbs būs veltīts Latvijas tautas labumam.
1-1	0-2	Es	pp10snn	es	_	_	*[3]	*->3-1	det	basic	1-2	
1-2	3-8	zvēru	vmnipt31san	zvērēt	_	_	_	_	root	basic	1-2	
1-3	8-9	,	zc	,	_	_	_	_	punct	basic	1-9	
1-4	10-12	ka	cs	ka	_	_	_	_	mark	basic	1-9	
1-5	13-17	viss	pg0msnn	viss	_	_	_	_	obl	basic	1-7	
1-6	18-22	mans	ps0msnn	mans	_	_	*[3]	*->3-2	det	basic	1-7	
1-7	23-28	darbs	ncmsn1	darbs	_	_	_	_	nsubj:pass	basic	1-9	
1-8	29-32	būs	vcnifii30an	būt	_	_	_	_	aux	basic	1-9	
1-9	33-40	veltīts	vmnpdmsnpsnp	veltīt	_	_	_	_	acl	basic	1-2	
1-10	41-49	Latvijas	npfsg4	Latvija	GPE	https://en.wikipedia.org/wiki/Latvia	_	_	nmod	basic	1-11	
1-11	50-56	tautas	ncfsg4	tauta	_	_	_	_	nmod	basic	1-12	
1-12	57-64	labumam	ncmsd1	labums	_	_	_	_	iobj	basic	1-9	
1-13	64-65	.	zs	.	_	_	_	_	punct	basic	1-2	

#Text=Es darīšu visu, kas stāvēs manos spēkos, lai sekmētu Latvijas valsts un tās iedzīvotāju labklājību.
2-1	67-69	Es	pp10snn	es	_	_	*[3]	*->3-3	nsubj	basic	2-2	
2-2	70-76	darīšu	vmnift31san	darīt	_	_	_	_	root	basic	2-2	
2-3	77-81	visu	pg0msan	viss	_	_	*[1]	*->1-1	obj	basic	2-2	
2-4	81-82	,	zc	,	_	_	_	_	punct	basic	2-6	
2-5	83-86	kas	pr000nn	kas	_	_	*[1]	*->1-2	nsubj	basic	2-6	
2-6	87-93	stāvēs	vmnift330an	stāvēt	_	_	_	_	acl	basic	2-3	
2-7	94-99	manos	pd0mpln	manos	_	_	_	_	det	basic	2-8	
2-8	100-106	spēkos	ncmpl1	spēks	_	_	_	_	obl	basic	2-6	
2-9	106-107	,	zc	,	_	_	_	_	punct	basic	2-11	
2-10	108-111	lai	cs	lai	_	_	_	_	mark	basic	2-11	
2-11	112-119	sekmētu	vmnc0t200an	sekmēt	_	_	_	_	advcl	basic	2-6	
2-12	120-128	Latvijas	npfsg4	Latvija	GPE[1]	https://en.wikipedia.org/wiki/Latvia[1]	*[2]	*->2-1	nmod	basic	2-13	
2-13	129-135	valsts	ncfsg6	valsts	GPE[1]	https://en.wikipedia.org/wiki/Latvia[1]	*[2]	*->2-1	nmod	basic	2-17	
2-14	136-138	un	cc	un	_	_	_	_	cc	basic	2-16	
2-15	139-142	tās	pd0fsgn	tā	_	_	*[2]	*->2-2	det	basic	2-16	
2-16	143-154	iedzīvotāju	ncmpg1	iedzīvotājs	_	_	_	_	conj	basic	2-13	
2-17	155-165	labklājību	ncfsa4	labklājība	_	_	_	_	obj	basic	2-11	
2-18	165-166	.	zs	.	_	_	_	_	punct	basic	2-2	

#Text=Es turēšu svētus un ievērošu Latvijas Satversmi un valsts likumus.
3-1	168-170	Es	pp10snn	es	_	_	*[3]	*->3-4	nsubj	basic	3-2	
3-2	171-177	turēšu	vmnift31san	turēt	_	_	_	_	root	basic	3-2	
3-3	178-184	svētus	afmpanp	svēts	_	_	_	_	acl	basic	3-2	
3-4	185-187	un	cc	un	_	_	_	_	cc	basic	3-5	
3-5	188-196	ievērošu	vmnift21san	ievērot	_	_	_	_	conj	basic	3-2	
3-6	197-205	Latvijas	npfsg4	Latvija	entity[2]|GPE[3]	https://en.wikipedia.org/wiki/Constitution\_of\_Latvia[2]|https://en.wikipedia.org/wiki/Latvia[3]	_	_	nmod	basic	3-7	
3-7	206-215	Satversmi	ncfsa5	satversme	entity[2]	https://en.wikipedia.org/wiki/Constitution\_of\_Latvia[2]	_	_	obj	basic	3-2	
3-8	216-218	un	cc	un	_	_	_	_	cc	basic	3-10	
3-9	219-225	valsts	ncfsg6	valsts	_	_	_	_	nmod	basic	3-10	
3-10	226-233	likumus	ncmpa1	likums	_	_	_	_	conj	basic	3-7	
3-11	233-234	.	zs	.	_	_	_	_	punct	basic	3-2	

#Text=Pret visiem es izturēšos taisni un savus pienākumus izpildīšu pēc labākās apziņas.
4-1	236-240	Pret	sppd	pret	_	_	_	_	case	basic	4-2	
4-2	241-247	visiem	pg0mpdn	viss	_	_	_	_	obl	basic	4-4	
4-3	248-250	es	pp10snn	es	_	_	*[3]	*->3-5	nsubj	basic	4-4	
4-4	251-260	izturēšos	vmyifi31san	izturēties	_	_	_	_	root	basic	4-4	
4-5	261-267	taisni	rpm	taisns	_	_	_	_	advmod	basic	4-4	
4-6	268-270	un	cc	un	_	_	_	_	cc	basic	4-9	
4-7	271-276	savus	ps0mpan	savs	_	_	*[3]	*->3-6	det	basic	4-8	
4-8	277-287	pienākumus	ncmpa1	pienākums	_	_	_	_	obj	basic	4-9	
4-9	288-297	izpildīšu	ncfpg5	izpildīte	_	_	_	_	conj	basic	4-4	
4-10	298-301	pēc	spsg	pēc	_	_	_	_	case	basic	4-12	
4-11	302-309	labākās	affsgyc	laba	_	_	_	_	amod	basic	4-12	
4-12	310-317	apziņas	ncfsg4	apziņa	_	_	_	_	obl	basic	4-9	
4-13	317-318	.	zs	.	_	_	_	_	punct	basic	4-4	
