#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=*Paņem zobos zīmuli vai kokteiļu salmiņu un zīmē gaisā burtus.
1-1	0-1	*	xx	\*	parataxis	basic	1-2	
1-2	1-6	Paņem	vmnm0t12san	paņemt	root	basic	1-2	
1-3	7-12	zobos	ncmpl1	zobs	obl	basic	1-2	
1-4	13-19	zīmuli	ncmsa2	zīmulis	obj	basic	1-2	
1-5	20-23	vai	cc	vai	cc	basic	1-7	
1-6	24-32	kokteiļu	ncmpg2	kokteilis	nmod	basic	1-7	
1-7	33-40	salmiņu	ncmsa1	salmiņš	conj	basic	1-4	
1-8	41-43	un	cc	un	cc	basic	1-9	
1-9	44-48	zīmē	ncfsl5	zīme	conj	basic	1-2	
1-10	49-54	gaisā	ncmsl1	gaiss	obl	basic	1-9	
1-11	55-61	burtus	ncmpa1	burts	obj	basic	1-9	
1-12	61-62	.	zs	.	punct	basic	1-2	
