#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Divas reizes pēc skata pieklājīgi vīrieši uz lūgumu aprunāties ar izteiksmīgiem krievu lamuvārdiem paskaidroja, kurp jādodas ar šiem jautājumiem.
1-1	0-5	Divas	mcsfpa	*	divas	_	_	_	_	nummod	basic	1-2	
1-2	6-12	reizes	ncfpn5	*	reize	_	_	_	_	obl	basic	1-14	
1-3	13-16	pēc	spsg	*	pēc	_	_	_	_	case	basic	1-4	
1-4	17-22	skata	ncmsg1	*	skats	_	_	_	_	obl	basic	1-5	
1-5	23-33	pieklājīgi	afmpnnp	*	pieklājīgs	_	_	_	_	amod	basic	1-6	
1-6	34-41	vīrieši	ncmpn2	*	vīrietis	_	_	_	_	nsubj	basic	1-14	
1-7	42-44	uz	spsa	*	uz	_	_	_	_	case	basic	1-8	
1-8	45-51	lūgumu	ncmsa1	*	lūgums	_	_	_	_	obl	basic	1-14	
1-9	52-62	aprunāties	vmyn0i2000n	*	aprunāties	_	_	_	_	acl	basic	1-8	
1-10	63-65	ar	sppd	*	ar	_	_	_	_	case	basic	1-13	
1-11	66-79	izteiksmīgiem	afmpdnp	*	izteiksmīgs	_	_	_	_	amod	basic	1-13	
1-12	80-86	krievu	ncmpg1	*	krievs	_	_	_	_	nmod	basic	1-13	
1-13	87-98	lamuvārdiem	ncmpd1	*	lamuvārds	_	_	_	_	iobj	basic	1-14	
1-14	99-110	paskaidroja	vmnist230an	*	paskaidrot	_	_	_	_	root	basic	1-14	
1-15	110-111	,	zc	*	,	_	_	_	_	punct	basic	1-17	
1-16	112-116	kurp	r0p	*	kurp	_	_	_	_	advmod	basic	1-17	
1-17	117-124	jādodas	vmyd0ti00an	*	doties	_	_	_	_	ccomp	basic	1-14	
1-18	125-127	ar	sppd	*	ar	_	_	_	_	case	basic	1-20	
1-19	128-132	šiem	pd0mpdn	*	šis	_	_	_	_	det	basic	1-20	
1-20	133-144	jautājumiem	ncmpd1	*	jautājums	_	_	_	_	iobj	basic	1-17	
1-21	144-145	.	zs	*	.	_	_	_	_	punct	basic	1-14	

#Text=Viens pieklājīgi palūdza atnākt rīt, jo pirmdienas rītā viņam slikti strādājot galva.
2-1	147-152	Viens	mcsmsn	*	viens	_	_	*->1-1	*[1]	nsubj	basic	2-3	
2-2	153-163	pieklājīgi	rpm	*	pieklājīgi	_	_	_	_	advmod	basic	2-3	
2-3	164-171	palūdza	vmnist130an	*	palūgt	_	_	_	_	root	basic	2-3	
2-4	172-178	atnākt	vmnn0i1000n	*	atnākt	_	_	_	_	ccomp	basic	2-3	
2-5	179-182	rīt	r0t	*	rīt	_	_	_	_	advmod	basic	2-4	
2-6	182-183	,	zc	*	,	_	_	_	_	punct	basic	2-12	
2-7	184-186	jo	cs	*	jo	_	_	_	_	mark	basic	2-12	
2-8	187-197	pirmdienas	ncfsg4	*	pirmdiena	time[1]	*[1]	_	_	nmod	basic	2-9	
2-9	198-202	rītā	ncmsl1	*	rīts	time[1]	*[1]	_	_	obl	basic	2-12	
2-10	203-208	viņam	pp3msdn	*	viņš	_	_	*->1-2	*[1]	obl	basic	2-12	
2-11	209-215	slikti	rpm	*	slikti	_	_	_	_	advmod	basic	2-12	
2-12	216-225	strādājot	vmnrpi200an	*	strādāt	_	_	_	_	advcl	basic	2-3	
2-13	226-231	galva	ncfsn4	*	galva	_	_	_	_	nsubj	basic	2-12	
2-14	231-232	.	zs	*	.	_	_	_	_	punct	basic	2-3	

#Text=Kopumā radās iespaids, ka pirmdienās puse mūsu pilsētas iedzīvotāju sirgst ar paģirām.
3-1	234-240	Kopumā	ncmsl1	*	kopums	_	_	_	_	obl	basic	3-2	
3-2	241-246	radās	vmyisi130an	*	rasties	_	_	_	_	root	basic	3-2	
3-3	247-255	iespaids	ncmsn1	*	iespaids	_	_	_	_	nsubj	basic	3-2	
3-4	255-256	,	zc	*	,	_	_	_	_	punct	basic	3-11	
3-5	257-259	ka	cs	*	ka	_	_	_	_	mark	basic	3-11	
3-6	260-270	pirmdienās	ncfpl4	*	pirmdiena	time	*	_	_	obl	basic	3-11	
3-7	271-275	puse	ncfsn5	*	puse	_	_	_	_	nsubj	basic	3-11	
3-8	276-280	mūsu	pp10pgn	*	mēs	_	_	_	_	det	basic	3-9	
3-9	281-289	pilsētas	ncfsg4	*	pilsēta	_	_	_	_	nmod	basic	3-10	
3-10	290-301	iedzīvotāju	ncmpg1	*	iedzīvotājs	_	_	_	_	nmod	basic	3-7	
3-11	302-308	sirgst	vmnipi130an	*	sirgt	_	_	_	_	acl	basic	3-3	
3-12	309-311	ar	sppd	*	ar	_	_	_	_	case	basic	3-13	
3-13	312-319	paģirām	ncfdd4	*	paģiras	_	_	_	_	iobj	basic	3-11	
3-14	319-320	.	zs	*	.	_	_	_	_	punct	basic	3-2	
