#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.NEtypeslinks|category|link
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=– Nešūpojas gan.
1-1	0-1	–	zd	*	–	_	_	_	_	punct	basic	1-2	
1-2	2-11	Nešūpojas	vmyipi230ay	*	nešūpoties	_	_	_	_	root	basic	1-2	
1-3	12-15	gan	q	*	gan	_	_	_	_	discourse	basic	1-2	
1-4	15-16	.	zs	*	.	_	_	_	_	punct	basic	1-2	

#Text=Tiesa, ir dzirdētas baumas, ka Panorama Plaza torņi ir šķībi.
2-1	18-23	Tiesa	ncfsn4	*	tiesa	_	_	_	_	parataxis	basic	2-4	
2-2	23-24	,	zc	*	,	_	_	_	_	punct	basic	2-1	
2-3	25-27	ir	vcnipii30an	*	būt	_	_	_	_	aux	basic	2-4	
2-4	28-37	dzirdētas	vmnpdfpnpsnp	*	dzirdēt	_	_	_	_	root	basic	2-4	
2-5	38-44	baumas	ncfdn4	*	baumas	_	_	_	_	nsubj:pass	basic	2-4	
2-6	44-45	,	zc	*	,	_	_	_	_	punct	basic	2-12	
2-7	46-48	ka	cs	*	ka	_	_	_	_	mark	basic	2-12	
2-8	49-57	Panorama	xf	*	Panorama	location[1]	https://lv.wikipedia.org/wiki/Panorama\_Plaza[1]	_	_	nmod	basic	2-10	
2-9	58-63	Plaza	xf	*	Plaza	location[1]	https://lv.wikipedia.org/wiki/Panorama\_Plaza[1]	_	_	flat:name	basic	2-8	
2-10	64-69	torņi	ncmpn2	*	tornis	_	_	_	_	nsubj	basic	2-12	
2-11	70-72	ir	vcnipii30an	*	būt	_	_	_	_	cop	basic	2-12	
2-12	73-78	šķībi	afmpnnp	*	šķībs	_	_	_	_	acl	basic	2-5	
2-13	78-79	.	zs	*	.	_	_	_	_	punct	basic	2-4	

#Text=Tiem, kurus šis jautājums uztrauc, iesaku pašiem savām acīm pārliecināties, vai tā ir vai nav.
3-1	81-85	Tiem	pd0mpdn	*	tas	_	_	*->1-1	*[1]	iobj	basic	3-8	
3-2	85-86	,	zc	*	,	_	_	_	_	punct	basic	3-6	
3-3	87-92	kurus	pr0mpan	*	kurš	_	_	*->1-2	*[1]	obj	basic	3-6	
3-4	93-96	šis	pd0msnn	*	šis	_	_	_	_	det	basic	3-5	
3-5	97-106	jautājums	ncmsn1	*	jautājums	_	_	_	_	nsubj	basic	3-6	
3-6	107-114	uztrauc	vmnipt130an	*	uztraukt	_	_	_	_	acl	basic	3-1	
3-7	114-115	,	zc	*	,	_	_	_	_	punct	basic	3-6	
3-8	116-122	iesaku	vmnipt31san	*	iesacīt	_	_	_	_	root	basic	3-8	
3-9	123-129	pašiem	pg0mpdn	*	pats	_	_	*->1-3	*[1]	acl	basic	3-8	
3-10	130-135	savām	ps0fpdn	*	sava	_	_	_	_	det	basic	3-11	
3-11	136-140	acīm	ncfpd6	*	acs	_	_	_	_	obl	basic	3-12	
3-12	141-155	pārliecināties	vmyn0i3000n	*	pārliecināties	_	_	_	_	ccomp	basic	3-8	
3-13	155-156	,	zc	*	,	_	_	_	_	punct	basic	3-15	
3-14	157-160	vai	cc	*	vai	_	_	_	_	mark	basic	3-15	
3-15	161-163	tā	r0m	*	tā	_	_	_	_	ccomp	basic	3-12	
3-16	164-166	ir	vcnipii30an	*	būt	_	_	_	_	aux	basic	3-15	
3-17	167-170	vai	cc	*	vai	_	_	_	_	cc	basic	3-18	
3-18	171-174	nav	vcnipii30ay	*	nebūt	_	_	_	_	conj	basic	3-16	
3-19	174-175	.	zs	*	.	_	_	_	_	punct	basic	3-8	

#Text=Nav jābūt lielam speciālistam, lai redzētu, ka torņi ir taisni.
