#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_RL=de.tudarmstadt.ukp.dkpro.core.api.syntax.type.dependency.Dependency|DependencyType|flavor|BT_de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS


#Text=Atsvaidzinošās maskas mazina nogurumu, uzlabo asinsriti un piešķir sejai veselīgu izskatu.
1-1	0-14	Atsvaidzinošās	vmnpdfpnapyp	*	atsvaidzināt	amod	basic	1-2	
1-2	15-21	maskas	ncfsg4	*	maska	nsubj	basic	1-3	
1-3	22-28	mazina	vmnipt330an	*	mazināt	root	basic	1-3	
1-4	29-37	nogurumu	ncmsa1	*	nogurums	obj	basic	1-3	
1-5	37-38	,	zc	*	,	punct	basic	1-3	
1-6	39-45	uzlabo	vmnipt22san	*	uzlabot	conj	basic	1-3	
1-7	46-55	asinsriti	ncfsa5	*	asinsrite	obj	basic	1-6	
1-8	56-58	un	cc	*	un	cc	basic	1-9	
1-9	59-66	piešķir	vmnipt130an	*	piešķirt	conj	basic	1-3	
1-10	67-72	sejai	ncfsd4	*	seja	iobj	basic	1-9	
1-11	73-81	veselīgu	afmsanp	*	veselīgs	amod	basic	1-12	
1-12	82-89	izskatu	ncmsa1	*	izskats	nmod	basic	1-10	
1-13	89-90	.	zs	*	.	punct	basic	1-3	
